category,course_code,course_name,ltp,lecture_hours,tutorial_hours,practical_hours
Only Theory,AE23711,Composite Materials and Structures,3-0-0,3,0,0
Only Theory,AE23PE41,Helicopter Theory,3-0-0,3,0,0
Only Theory,AI23711,Social and Ethical Issues in AI,1-0-0,1,0,0
Only Theory,AI23PE41,Software Project Management,3-0-0,3,0,0
Only Theory,AT23711,Automotive Pollution and Control,3-0-0,3,0,0
Only Theory,AT23712,Intelligent Vehicle System,3-0-0,3,0,0
Only Theory,AT23713,Automotive Safety,3-0-0,3,0,0
Only Theory,AT23PE41,Vehicle Maintenance,3-0-0,3,0,0
Only Theory,BM23711,Comprehension In Biomedical Engineering,1-0-0,1,0,0
Only Theory,BM23PE41,HOSPITAL ENGINEERING  AND  MANAGEMENT,3-0-0,3,0,0
Only Theory,BM23PE42,"Medical Safety, Quality Assurance and Regulatory Affairs",3-0-0,3,0,0
Only Theory,BT23711,Downstream Processing,3-0-0,3,0,0
Only Theory,BT23712,Protein Engineering,3-0-0,3,0,0
Only Theory,BT23713,Comprehension in Biotechnology,2-1-0,2,1,0
Only Theory,BT23PE41,Biopharmaceutical Technology,3-0-0,3,0,0
Only Theory,BT23PE41,Techniques in Animal Disease Management and Transgenic Technology,3-0-0,3,0,0
Only Theory,BT23PE42,Biofertilizer Production and Mushroom Cultivation,3-0-0,3,0,0
Only Theory,BT23PE42,Total Quality Management,3-0-0,3,0,0
Only Theory,CB23PE41,Generative Artificial Intelligence,3-0-0,3,0,0
Only Theory,CE23711,"Estimation, Costing and Valuation Engineering",3-0-0,3,0,0
Only Theory,CE23712,Hydrology,3-0-0,3,0,0
Only Theory,CE23PE41,Intelligent Transport System,3-0-0,3,0,0
Only Theory,CE23PE41,"Maintenance, Repair and Rehabilitation of Structures",3-0-0,3,0,0
Only Theory,CH23711,Transport Phenomena,3-0-0,3,0,0
Only Theory,CH23712,Comprehension in Chemical Engineering,3-0-0,3,0,0
Only Theory,CH23713,Process Engineering Economics,3-0-0,3,0,0
Only Theory,CH23E12,Optimization of Chemical Processes,3-0-0,3,0,0
