course_code,course_name,department,total_labs,lab_1_name,lab_1_room,lab_1_block,lab_1_min_cap,lab_1_max_cap,lab_1_projector,lab_1_ac,lab_1_tech_level,lab_2_name,lab_2_room,lab_2_block,lab_2_min_cap,lab_2_max_cap,lab_2_projector,lab_2_ac,lab_2_tech_level,lab_3_name,lab_3_room,lab_3_block,lab_3_min_cap,lab_3_max_cap,lab_3_projector,lab_3_ac,lab_3_tech_level,lab_4_name,lab_4_room,lab_4_block,lab_4_min_cap,lab_4_max_cap,lab_4_projector,lab_4_ac,lab_4_tech_level,lab_5_name,lab_5_room,lab_5_block,lab_5_min_cap,lab_5_max_cap,lab_5_projector,lab_5_ac,lab_5_tech_level
AV23121,AVIONICS INTEGRATION LABORATORY,Aeronautical Engineering,1,Avionics Lab,CG005,C Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23333,Aero Engineering Thermodynamics,Aeronautical Engineering,2,Thermal Lab 1,WS MECH FF4,C Block,20.0,35.0,0.0,0.0,Advanced,Thermal Lab 2,WS MECH TL,C Block,20.0,35.0,0.0,0.0,Basic,,,,,,,,,,,,,,,,,,,,,,,,
AE23432,Aircraft Materials and Processes,Aeronautical Engineering,1,Aircraft Structures Lab,WS Aero FF2,Workshop,20.0,35.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23531,Aircraft Structures - II,Aeronautical Engineering,1,Aircraft Structures Lab,WS Aero FF2,Workshop,20.0,35.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23433,Aircraft Systems and Instruments,Aeronautical Engineering,1,Airframe Repair and Aero Engine Lab,WS Aero FF1,Workshop,20.0,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23521,Airframe and Aero Engine Laboratory,Aeronautical Engineering,1,Airframe Repair and Aero Engine Lab,WS Aero FF1,Workshop,20.0,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23621,Artificial Intelligence and Machine Learning for Aeronautical Engineering,Aeronautical Engineering,1,Aero CAD Lab,CG006,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23731,Avionics,Aeronautical Engineering,1,Avionics Lab,CG005,C Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE23133,Basic Electrical and Electronics Engineering,Aeronautical Engineering,2,Basic Electronics Lab-1,B118,B Block,20.0,35.0,1.0,0.0,High-tech,Electrical Machines I Lab,BG014,B Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AE23623,Computational Simulation Laboratory,Aeronautical Engineering,1,Aero CAD Lab,CG006,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23321,Computer Aided Modelling Laboratory,Aeronautical Engineering,1,Aero CAD Lab,CG006,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY23223,Engineering Chemistry ,Aeronautical Engineering,1,Chemistry Lab,D503,D Block,0.0,70.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE23121,Engineering Practices – Civil and Mechanical,Aeronautical Engineering,4,Machine Shop FF1 - EPL - 1,WS MECH FF1,C Block,50.0,70.0,0.0,0.0,Advanced,Engineering Practices Lab (Electrical),WS MECH FF5,C Block,50.0,70.0,0.0,0.0,Basic,Engineering Practices Lab (Electronics),WS MECH FF6,C Block,50.0,70.0,0.0,0.0,,,,,,,,,,,,,,,,,
GE23122,Engineering Practices – Electrical and Electronics,Aeronautical Engineering,3,Engineering Practices Lab (Electrical),WS MECH FF5,C Block,50.0,70.0,0.0,0.0,Basic,Engineering Practices Lab (Electronics),WS MECH FF6,C Block,50.0,70.0,0.0,0.0,,Machine Shop FF1 - EPL - 1,WS MECH FF1,C Block,50.0,70.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,
AE23631,Flight Vehicle Design,Aeronautical Engineering,1,Aero CAD Lab,CG006,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23332,Fluid Mechanics and Fluid Machinery,Aeronautical Engineering,1,Fluid Mechanics Lab,WS MECH FM,C Block,20.0,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23431,Incompressible Aerodynamics,Aeronautical Engineering,1,Aerodynamics Lab,WS Aero GF,Workshop,20.0,35.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE23622,Jet propulsion Laboratory,Aeronautical Engineering,1,Aerodynamics Lab,WS Aero GF,Workshop,20.0,35.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH23131,Physics of Materials,Aeronautical Engineering,2,Physics LAB - 1,D603,D block,30.0,60.0,0.0,0.0,Advanced,Physics LAB - 2,D403,D block,30.0,60.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,,,,,,,,,
AE23331,Solid Mechanics,Aeronautical Engineering,1,Strength of Materials Lab,WS MECH SM,C Block,20.0,35.0,0.0,0.0,High-tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT23231,Digital Logic and Computer Architecture,Artificial Intelligence and Data Science,1,Digital Lab-1,B328,B Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH23132,Physics for Information Science,Artificial Intelligence and Data Science,2,Physics LAB - 1,D603,D block,30.0,60.0,0.0,0.0,Advanced,Physics LAB - 2,D403,D block,30.0,60.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,,,,,,,,,
AT23332,Applied Thermodynamics,Automobile Engineering,2,Thermal Lab 1,WS MECH FF4,C Block,20.0,35.0,0.0,0.0,Advanced,Thermal Lab 2,WS MECH TL,C Block,20.0,35.0,0.0,0.0,Basic,,,,,,,,,,,,,,,,,,,,,,,,
AT23431,Automotive Drive Line and Chassis,Automobile Engineering,1,Automotive Components Lab,WS AUTO GF2,Workshop,20.0,35.0,0.0,0.0,High-tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
