course_code,course_name,department_name,year,semester,regulation,category,lecture_hours,tutorial_hours,practical_hours,credits
HS23111,Technical Communication -I,Aeronautical Engineering,1,1.0,2023.0,Theory,2,0,0,2
MA23112,Algebra and Calculus,Aeronautical Engineering,1,1.0,2023.0,Theory,3,1,0,4
PH23131,Physics of Materials,Aeronautical Engineering,1,1.0,2023.0,LOT,3,0,2,4
GE23111,Engineering Graphics,Aeronautical Engineering,1,1.0,2023.0,Theory,4,2,0,4
GE23117,தமிழர் மரபு /Heritage of Tamils,Aeronautical Engineering,1,1.0,2023.0,Theory,1,0,0,1
EE23133,Basic Electrical and Electronics Engineering,Aeronautical Engineering,1,1.0,2023.0,LOT,3,0,2,4
MC23112,Environmental Science and Engineering,Aeronautical Engineering,1,1.0,2023.0,Theory,3,0,0,0
GE23121,Engineering Practices – Civil and Mechanical,Aeronautical Engineering,1,1.0,2023.0,Laboratory,0,0,2,1
HS23221/HS23222,Technical Communication II/ English for Professional Competence,Aeronautical Engineering,1,2.0,2023.0,Theory,2,0,0,1
MA23212,"Differential Equation and Analytical 
Complex Functions",Aeronautical Engineering,1,2.0,2023.0,Theory,3,1,0,4
CY23223,Engineering Chemistry ,Aeronautical Engineering,1,2.0,2023.0,LOT,3,0,2,4
GE23211,Engineering Mechanics,Aeronautical Engineering,1,2.0,2023.0,Theory,2,1,0,3
AE23211,Fundamentals of Aerospace Engineering ,Aeronautical Engineering,1,2.0,2023.0,Theory,3,0,0,3
GE23233,Problem Solving and Python Programming,Aeronautical Engineering,1,2.0,2023.0,LOT,2,0,4,4
GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Aeronautical Engineering,1,2.0,2023.0,Theory,1,0,0,1
MC23111,Indian Constitution and Freedom Movement,Aeronautical Engineering,1,2.0,2023.0,Theory,3,0,0,0
GE23122,Engineering Practices – Electrical and Electronics,Aeronautical Engineering,1,2.0,2023.0,Laboratory,0,0,2,1
MA23311,Transforms and Applied Partial Differential Equations,Aeronautical Engineering,2,3.0,2023.0,Theory,3,1,0,4
AE23331,Solid Mechanics,Aeronautical Engineering,2,3.0,2023.0,LOT,2,1,2,4
AE23332,Fluid Mechanics and Fluid Machinery,Aeronautical Engineering,2,3.0,2023.0,LOT,2,1,2,4
AE23333,Aero Engineering Thermodynamics,Aeronautical Engineering,2,3.0,2023.0,LOT,2,1,2,4
CS23422,Python Programming for Machine Learning,Aeronautical Engineering,2,3.0,2023.0,Laboratory,0,0,4,2
OE - 1,Open Elective - I,Aeronautical Engineering,2,3.0,2023.0,Open Elective,3,0,0,3
AE23321,Computer Aided Modelling Laboratory,Aeronautical Engineering,2,3.0,2023.0,Laboratory,0,0,4,2
MA23432,Statistics and Numerical Methods,Aeronautical Engineering,2,4.0,2023.0,LOT,3,0,2,4
AE23411,Aircraft Structures - I,Aeronautical Engineering,2,4.0,2023.0,Theory,2,1,0,3
AE23412,Control Engineering,Aeronautical Engineering,2,4.0,2023.0,Theory,3,0,0,3
AE23431,Incompressible Aerodynamics,Aeronautical Engineering,2,4.0,2023.0,LOT,2,1,2,4
AE23432,Aircraft Materials and Processes,Aeronautical Engineering,2,4.0,2023.0,LOT,3,0,2,4
AE23433,Aircraft Systems and Instruments,Aeronautical Engineering,2,4.0,2023.0,LOT,2,0,2,3
GE23327,Soft Skills – I,Aeronautical Engineering,2,4.0,2023.0,Laboratory,0,0,2,1
AE23511,Aircraft Propulsion,Aeronautical Engineering,3,5.0,2023.0,Theory,2,1,0,3
AE23512,Compressible Aerodynamics,Aeronautical Engineering,3,5.0,2023.0,Theory,2,1,0,3
AE23513,Flight Dynamics,Aeronautical Engineering,3,5.0,2023.0,Theory,2,1,0,3
AE23531,Aircraft Structures - II,Aeronautical Engineering,3,5.0,2023.0,LOT,2,1,2,4
AEPE1,Professional Elective – I,Aeronautical Engineering,3,5.0,2023.0,Professional Elective,3,0,0,3
OE - 2,Open Elective - II,Aeronautical Engineering,3,5.0,2023.0,Open Elective,3,0,0,3
