course_code,course_name,department,total_labs,lab_1_name,lab_1_room,lab_1_block,lab_1_min_cap,lab_1_max_cap,lab_1_projector,lab_1_ac,lab_1_tech_level,lab_2_name,lab_2_room,lab_2_block,lab_2_min_cap,lab_2_max_cap,lab_2_projector,lab_2_ac,lab_2_tech_level,lab_3_name,lab_3_room,lab_3_block,lab_3_min_cap,lab_3_max_cap,lab_3_projector,lab_3_ac,lab_3_tech_level
EC23531,Digital Signal Processing,Electronics & Communication Engineering,1,DSP Lab,B202,B Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
FT23312,Biochemistry and Nutrition Laboratory,Food Technology,1,Food Chemistry Lab,DG,D Block,,,,,,,,,,,,,,,,,,,,,
EC23131,Electron Devices,Electronics & Communication Engineering,1,Engineering Practices Lab (Electronics),WS MECH FF6,C Block,50.0,70.0,0.0,0.0,,,,,,,,,,,,,,,,,
BT23521,Bioprocess Laboratory- I,Biotechnology,1,Bioprocess Lab,B Second Floor,B Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
BT23321,Basic Food and Enzyme Technology Laboratory,Biotechnology,1,Microbiology Lab,B First Floor,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
BT23331,Analytical Techniques in Biotechnology,Biotechnology,2,Biochemistry Lab,B First Floor,B Block,20.0,35.0,1.0,0.0,Basic,Technical Analysis Lab,B Ground Floor,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,
BT23131,Microbiology,Biotechnology,1,Microbiology Lab,B First Floor,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
AT19713,Project Phase I,Automobile Engineering,1,Vehicle Maintenance Lab,WS AUTO GF1,Workshop,20.0,35.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,
AT19721,Vehicle Maintenance Laboratory,Automobile Engineering,1,Vehicle Maintenance Lab,WS AUTO GF1,Workshop,20.0,35.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,
AT19722,Computer Aided Analysis Laboratory,Automobile Engineering,1,nan,TANCAM,Arch Block,,,,,,,,,,,,,,,,,,,,,
AT19723,Comprehension,Automobile Engineering,1,Vehicle Maintenance Lab,WS AUTO GF1,Workshop,20.0,35.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,
AT23521,Two and Three wheelers Laboratory,Automobile Engineering,1,Automotive Components Lab,WS AUTO GF2,Workshop,20.0,35.0,0.0,0.0,High-tech,,,,,,,,,,,,,,,,
CE23321,Construction Materials Laboratory,Civil Engineering,1,Concrete & Survey Lab,WS CIVIL 1,C Block,20.0,35.0,0.0,0.0,High-tech,,,,,,,,,,,,,,,,
CE23521,Water and Waste Water Analysis Laboratory,Civil Engineering,1,Chemistry Lab,D503,D Block,0.0,70.0,0.0,0.0,,,,,,,,,,,,,,,,,
CE23331,Surveying,Civil Engineering,2,Concrete & Survey Lab,WS CIVIL 1,C Block,20.0,35.0,0.0,0.0,High-tech,Soil Mechanics & Highway Lab,WS CIVIL 2,C Block,20.0,35.0,0.0,0.0,Advanced,,,,,,,,
AE23531,Aircraft Structures - II,Aeronautical Engineering,1,Aircraft Structures Lab,WS Aero FF2,Workshop,20.0,35.0,0.0,0.0,Advanced,,,,,,,,,,,,,,,,
AE23321,Computer Aided Modelling Laboratory,Aeronautical Engineering,1,Aero CAD Lab,CG006,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
AE23333,Aero Engineering Thermodynamics,Aeronautical Engineering,2,Thermal Lab 1,WS MECH FF4,C Block,20.0,35.0,0.0,0.0,Advanced,Thermal Lab 2,WS MECH TL,C Block,20.0,35.0,0.0,0.0,Basic,,,,,,,,
MT23331,Analog Devices and Drives,Mechatronics Engineering,1,Industrial Automation Lab,B305,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
RO23521,Mobile Robotics laboratory,Robotics & Automation,1,Isaac Asimov Laboratory,DG,D Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,
RO23332,Mechanics of Materials,Robotics & Automation,2,Dynamics Lab,C407,C Block,20.0,35.0,1.0,0.0,,Strength of Materials Lab,WS MECH SM,C Block,20.0,35.0,0.0,0.0,High-tech,,,,,,,,
RO23331,Elements of Manufacturing Process,Robotics & Automation,2,Manufacturing Technology II,WS MECH GF2,C Block,20.0,35.0,0.0,0.0,High-tech,Manufacturing Technology I,WS MECH GF1,C Block,20.0,35.0,0.0,0.0,Basic,,,,,,,,
RO23522,"Industrial Automation 
 Laboratory-II",Robotics & Automation,1,Industrial Automation Lab,B305,B Block,,,,,,,,,,,,,,,,,,,,,
MT23522,Industrial Electronics Laboratory,Mechatronics Engineering,1,Power Electronics Lab,BG009,B Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,
MT23332,Digital System Design,Mechatronics Engineering,1,MCT CAD Lab,B310,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
FT23512,Food Processing and Preservation Laboratory - II,Food Technology,1,Food Processing and Preservation Lab,CG003,C Block,,,,,,,,,,,,,,,,,,,,,
FT19711,Food Packaging Technology Laboratory,Food Technology,1,Baking Lab,CG002,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
FT19712,Livestock and Marine Technology Laboratory,Food Technology,1,Livestock Lab,WS AUTO FF4,Workshop,20.0,35.0,0.0,0.0,High-tech,,,,,,,,,,,,,,,,
AT23331,Automotive Engines,Automobile Engineering,2,Thermal Lab 2,WS MECH TL,C Block,20.0,35.0,0.0,0.0,Basic,Thermal Lab 1,WS MECH FF4,C Block,20.0,35.0,0.0,0.0,Advanced,,,,,,,,
AT23332,Applied Thermodynamics,Automobile Engineering,2,Thermal Lab 1,WS MECH FF4,C Block,20.0,35.0,0.0,0.0,Advanced,Thermal Lab 2,WS MECH TL,C Block,20.0,35.0,0.0,0.0,Basic,,,,,,,,
AT23333,Strength of Materials for Automobile Engineers,Automobile Engineering,1,Strength of Materials Lab,WS MECH SM,C Block,20.0,35.0,0.0,0.0,High-tech,,,,,,,,,,,,,,,,
AT23334,Production Technology - II,Automobile Engineering,1,Manufacturing Technology II,WS MECH GF2,C Block,20.0,35.0,0.0,0.0,High-tech,,,,,,,,,,,,,,,,
MT19711,Computer Aided Engineering Laboratory,Mechatronics Engineering,1,MCT CAD Lab,B310,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
MT19721,Project Work Phase - I,Mechatronics Engineering,1,Microprocessor and Microcontrollers Lab,C106,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
EC19712,Advanced Communication Systems Laboratory,Electronics & Communication Engineering,1,Optical and Microwave Lab,B120,B Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,
EC23321,Analog and Digital Circuits Laboratory,Electronics & Communication Engineering,3,Basic Electronics Lab-1,B118,B Block,20.0,35.0,1.0,0.0,High-tech,Digital Lab-1,B328,B Block,20.0,35.0,1.0,0.0,Basic,Basic Electronics Lab-2,B119,B Block,,,,,
