DEPARTMENT,Course Code,Course Title,Venue
Aeronautical Engineering,PH23131,Physics of Materials,Physics Lab
Aeronautical Engineering,EE23133,Basic Electrical and Electronics Engineering,Basic electronics lab-1
Aeronautical Engineering,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Aeronautical Engineering,CY23223,Engineering Chemistry ,Chemistry Lab
Aeronautical Engineering,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electrical), Engineering Practices Lab (Electronics)"
Aeronautical Engineering,AE23331,Solid Mechanics,Strength of Materials Lab
Aeronautical Engineering,AE23332,Fluid Mechanics and Fluid Machinery,Fluid Mechanics Lab
Aeronautical Engineering,AE23333,Aero Engineering Thermodynamics,Thermal Lab 1
Aeronautical Engineering,AE23321,Computer Aided Modelling Laboratory,Aero CAD Lab
Aeronautical Engineering,AE23431,Incompressible Aerodynamics,Aerodynamics Lab
Aeronautical Engineering,AE23432,Aircraft Materials and Processes,Aircraft Structures Lab
Aeronautical Engineering,AE23433,Aircraft Systems and Instruments,Airframe Repair and Aero Engine Lab
Aeronautical Engineering,AE23531,Aircraft Structures - II,Aircraft Structures Lab
Aeronautical Engineering,AE23521,Airframe and Aero Engine Laboratory,Airframe Repair and Aero Engine Lab
Aeronautical Engineering,AE23631,Flight Vehicle Design,Aero CAD Lab
Aeronautical Engineering,AE23621,Artificial Intelligence and Machine Learning for Aeronautical Engineering,Aero CAD Lab
Aeronautical Engineering,AE23622,Jet propulsion Laboratory,Aerodynamics Lab
Aeronautical Engineering,AE23623,Computational Simulation Laboratory,Aero CAD Lab
Aeronautical Engineering,AE23731,Avionics,Avionics Lab
Artificial Intelligence and Data Science,PH23132,Physics for Information Science,Physics Lab
Artificial Intelligence and Data Science,EE23133,Basic Electrical and Electronics Engineering,Electrical Machines I Lab
Artificial Intelligence and Data Science,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Artificial Intelligence and Data Science,IT23231,Digital Logic and Computer Architecture,Digital Lab-1
Artificial Intelligence and Data Science,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Artificial Intelligence and Machine Learning,PH23132,Physics for Information Science,Physics Lab
Artificial Intelligence and Machine Learning,EE23133,Basic Electrical and Electronics Engineering,Electrical Machines I Lab
Artificial Intelligence and Machine Learning,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electrical), Engineering Practices Lab (Electronics)"
Artificial Intelligence and Machine Learning,IT23231,Digital Logic and Computer Architecture,Digital Lab-1
Artificial Intelligence and Machine Learning,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Automobile Engineering,PH23131,Physics of Materials,Physics Lab
Automobile Engineering,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Automobile Engineering,CY23223,Engineering Chemistry ,Chemistry Lab
Automobile Engineering,EE23133,Basic Electrical and Electronics Engineering,Electrical Machines I Lab
Automobile Engineering,GE23231,Programming Using Python,Auto CAD Lab
Automobile Engineering,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Automobile Engineering,AT23331,Automotive Engines,Thermal Lab 2
Automobile Engineering,AT23332,Applied Thermodynamics,Thermal Lab 1
Automobile Engineering,AT23333,Strength of Materials for Automobile Engineers,Strength of Materials Lab
Automobile Engineering,AT23334,Production Technology - II,Manufacturing Technology II
Automobile Engineering,AT23321,Computer Aided Machine Drawing Laboratory,Auto CAD Lab
Automobile Engineering,AT23431,Automotive Drive Line and Chassis,Automotive Componenets lab
Automobile Engineering,AT23432,Fluid Mechanics and Machinery for Automobile Engineers,Fluid Mechanics Lab
Automobile Engineering,AT23433,Theory of Machines,Fluid Mechanics Lab
Automobile Engineering,AT23531,Automotive Electrical and Electronics,Electrical Machines I Lab
