academic_year,semester,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,course_dept,teaching_dept,teaching_dept_id,student_dept,,lab_description,required_room_type,specific_room_type,room_number,block,room_description
3,5,EC23531,Digital Signal Processing,LoT,2,2,1,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,DSP Lab,Core-Lab,LAB,B202,B Block,DSP Lab
2,3,FT23312,Biochemistry and Nutrition Laboratory,L,0,4,0,2,Food Technology,Food Technology,18,Food Technology,,Food Chemistry Lab,Core-Lab,LAB,DG,D Block,Food Chemistry Lab
3,5,EC23531,Digital Signal Processing,LoT,2,2,1,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,DSP Lab,Core-Lab,LAB,B202,B Block,DSP Lab
3,5,EC23531,Digital Signal Processing,LoT,2,2,1,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,DSP Lab,Core-Lab,LAB,B202,B Block,DSP Lab
3,5,EC23531,Digital Signal Processing,LoT,2,2,1,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,DSP Lab,Core-Lab,LAB,B202,B Block,DSP Lab
1,1,EC23131,Electron Devices,LoT,3,2,0,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Engineering Practices Lab (Electronics),Core-Lab,LAB,WS MECH FF6,C Block,Engineering Practices Lab (Electronics)
1,1,EC23131,Electron Devices,LoT,3,2,0,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Engineering Practices Lab (Electronics),Core-Lab,LAB,WS MECH FF6,C Block,Engineering Practices Lab (Electronics)
1,1,EC23131,Electron Devices,LoT,3,2,0,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Engineering Practices Lab (Electronics),Core-Lab,LAB,WS MECH FF6,C Block,Engineering Practices Lab (Electronics)
1,1,EC23131,Electron Devices,LoT,3,2,0,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Engineering Practices Lab (Electronics),Core-Lab,LAB,WS MECH FF6,C Block,Engineering Practices Lab (Electronics)
1,1,EC23131,Electron Devices,LoT,3,2,0,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Engineering Practices Lab (Electronics),Core-Lab,LAB,WS MECH FF6,C Block,Engineering Practices Lab (Electronics)
1,1,EC23131,Electron Devices,LoT,3,2,0,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Engineering Practices Lab (Electronics),Core-Lab,LAB,WS MECH FF6,C Block,Engineering Practices Lab (Electronics)
1,1,EC23131,Electron Devices,LoT,3,2,0,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Engineering Practices Lab (Electronics),Core-Lab,LAB,WS MECH FF6,C Block,Engineering Practices Lab (Electronics)
3,5,BT23521,Bioprocess Laboratory- I,L,0,4,0,2,Biotechnology,Biotechnology,7,Biotechnology,,Downstream Processing Lab,Core-Lab,LAB,B Second Floor,B Block,Downstream Processing Lab
2,3,BT23321,Basic Food and Enzyme Technology Laboratory,L,0,2,0,1,Biotechnology,Biotechnology,7,Biotechnology,,Biochemistry Lab,Core-Lab,LAB,B First Floor,B Block,Biochemistry Lab
3,5,BT23521,Bioprocess Laboratory- I,L,0,4,0,2,Biotechnology,Biotechnology,7,Biotechnology,,Downstream Processing Lab,Core-Lab,LAB,B Second Floor,B Block,Downstream Processing Lab
2,3,BT23331,Analytical Techniques in Biotechnology,LoT,2,2,0,3,Biotechnology,Biotechnology,7,Biotechnology,,Technical Analysis Lab,Core-Lab,LAB,B Ground Floor,B Block,Technical Analysis Lab
