course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,course_name
AE23431,Aeronautical Engineering,1,Aerodynamics Lab,,,,,Incompressible Aerodynamics
AE23432,Aeronautical Engineering,1,Aircraft Structures Lab,,,,,Aircraft Materials and Processes
AE23433,Aeronautical Engineering,1,Aircraft Structures Lab,,,,,Aircraft Systems and Instruments
AE23622,Aeronautical Engineering,1,Aerodynamics Lab,,,,,Jet Propulsion Laboratory
AE23623,Aeronautical Engineering,1,Airframe Repair and Aero Engine Lab,,,,,Airframe Repair and Aero Engine Laboratory
AE23631,Aeronautical Engineering,1,Aero CAD Lab,,,,,Flight Vehicle Design
GE23122,Aeronautical Engineering,1,Engineering Practices Lab (Electrical),,,,,Engineering Practices - Electrical and Electronics
AT19811,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,Project - Phase II
AT23431,Automobile Engineering,1,Automotive Components Lab,,,,,Automotive Drive Line and Chassis
AT23432,Automobile Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics and Machinery for Automobile Engineers
AT23433,Automobile Engineering,1,Dynamics Lab,,,,,Theory of Machines
AT23631,Automobile Engineering,1,TANCAM,,,,,Automotive System Design
AT23633,Automobile Engineering,1,Automotive Components Lab,,,,,Automotive Fuels and Lubricants
EE23133,Automobile Engineering,1,Electrical Machines I Lab,,,,,Basic Electrical and Electronics Engineering
GE23122,Automobile Engineering,1,Engineering Practices Lab (Electrical),,,,,Engineering Practices - Electrical and Electronics
GE23122,Biomedical Engineering,1,Engineering Practices Lab (Electrical),,,,,Engineering Practices - Electrical and Electronics
BT23421,Biotechnology,1,Downstream Processing Lab,,,,,Chemical Engineering Laboratory for Biotechnologists
BT23422,Biotechnology,1,Immunology Lab,,,,,Molecular Biology and Genetic Engineering Laboratory
BT23621,Biotechnology,1,Downstream Processing Lab,,,,,Bioprocess Laboratory II
CH23431,Chemical Engineering,1,Particle Science and Technology Lab,,,,,Particle Science and Technology
CH23621,Chemical Engineering,1,Mass Transfer Lab,,,,,Mass Transfer Lab
EE23133,Chemical Engineering,1,Electrical Machines I Lab,,,,,Basic Electrical and Electronics Engineering
GE23122,Chemical Engineering,1,Engineering Practices Lab (Electrical),,,,,Engineering Practices - Electrical and Electronics
GE23122,Chemical Engineering,1,Engineering Practices Lab (Electronics),,,,,Engineering Practices - Electrical and Electronics
EE23133,Civil Engineering,1,Electrical Machines I Lab,Electrical Machines II Lab,,,,Basic Electrical and Electronics Engineering
GE23122,Civil Engineering,1,Engineering Practices Lab (Electrical),,,,,Engineering Practices - Electrical and Electronics
EE23133,Electrical & Electronics Engineering,1,Electrical Machines I Lab,Electrical Machines II Lab,,,,Basic Electrical and Electronics Engineering
EE23221,Electrical & Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Electric Circuits Laboratory
EE23421,Electrical & Electronics Engineering,2,Electrical Machines I Lab,Electrical Machines II Lab,,,,Electrical Machines Laboratory
EE23431,Electrical & Electronics Engineering,1,Power Electronics Lab,,,,,Digital Logic Circuits
EE23432,Electrical & Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Linear Integrated Circuits and Applications
EE23622,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Applications of AI and ML in Electrical Engineering
EE23631,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Applications of IoT in Electrical Engineering
EC23431,Electronics & Communication Engineering,1,LIC Lab,,,,,Analog Circuits-II
EC23631,Electronics & Communication Engineering,1,VLSI Lab,,,,,VLSI and Chip Design
EC23632,Electronics & Communication Engineering,1,Networks Lab,,,,,Communication Networks
EE23132,Electronics & Communication Engineering,1,Electrical Machines II Lab,,,,,Basic Electrical Engineering
EE23132,Electronics & Communication Engineering,1,Electrical Machines I Lab,,,,,Basic Electrical Engineering
