id,room_number,block,description,is_lab,room_type,room_min_cap,room_max_cap,has_projector,has_ac,tech_level
113,B First Floor,B Block,Immunology Lab,1,Core-Lab,20,35,1,0,Advanced
114,B First Floor,B Block,Genetic Engineering Lab,1,Core-Lab,20,35,1,0,None
115,B First Floor,B Block,Microbiology Lab,1,Core-Lab,20,35,1,0,High-tech
116,B First Floor,B Block,Biochemistry Lab,1,Core-Lab,20,35,1,0,Basic
117,B Ground Floor,B Block,Technical Analysis Lab,1,Core-Lab,20,35,1,0,High-tech
118,B Ground Floor,B Block,Chemical Reaction Engineering Lab,1,Core-Lab,20,35,1,0,Basic
119,B Second Floor,B Block,Downstream Processing Lab,1,Core-Lab,20,35,1,0,None
120,B Second Floor,B Block,Bioprocess Lab,1,Core-Lab,20,35,1,0,None
121,B Third Floor,B Block,Computer Application in Chemical Engg Lab,1,Core-Lab,20,35,1,0,Advanced
122,B116,B Block,Communication Systems Lab,1,Core-Lab,20,35,1,0,None
123,B117,B Block,Embedded System Laboratory (ECE),1,Core-Lab,20,35,1,0,None
124,B118,B Block,Basic Electronics Lab-1,1,Core-Lab,20,35,1,0,High-tech
125,B119,B Block,Basic Electronics Lab-2,1,Core-Lab,20,35,1,0,Basic
126,B120,B Block,Optical and Microwave Lab,1,Core-Lab,20,35,1,0,Advanced
127,B202,B Block,DSP Lab,1,Core-Lab,20,35,1,0,None
128,B203,B Block,VLSI Lab,1,Core-Lab,20,35,1,0,None
129,B204,B Block,Networks Lab,1,Core-Lab,20,35,1,0,Advanced
130,B205,B Block,Microprocessor Lab-1,1,Core-Lab,20,35,1,0,None
131,B206,B Block,Microprocessor Lab-2,1,Core-Lab,20,35,1,0,Advanced
132,B305,B Block,Industrial Automation Lab,1,Core-Lab,20,35,1,0,High-tech
133,B310,B Block,MCT CAD Lab,1,Core-Lab,20,35,1,0,High-tech
134,B311,B Block,Electronic Devices & Circuits Lab,1,Core-Lab,20,35,1,0,High-tech
135,B318,B Block,Power System Simulation Lab,1,Core-Lab,20,35,1,0,High-tech
136,B327,B Block,Digital Lab-2,1,Core-Lab,20,35,1,0,Basic
137,B328,B Block,Digital Lab-1,1,Core-Lab,20,35,1,0,Basic
