Teacher ID,Preferred Day 1,Preferred Day 2,Preferred Day 3,day_time_windows,lab_day_time_windows,alternative_lab_days,hard_lab_limit
1028,Mon,Tue,Wed,"Mon 08:00-17:00, Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00",,,
1250,Fri,Sat,,"Fri 09:00-10:50, Sat 09:00-09:50",Sat 10:00-11:50,,true
468,,,,,,,
1041,Mon,Tue,Wed,"Mon 08:00-17:00, Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00",,,
492,,,,,,,
288,,,,,,,
17,Sat,,,Sat 08:00-17:00,,,
73,,,,,,,
1190,Tue,Wed,Thu,"Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00, Sat 08:00-17:00",,,
1037,Tue,Wed,Thu,"Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00, Sat 08:00-17:00",,,
1001,Tue,Wed,Thu,"Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00, Sat 08:00-17:00",,,
1039,Tue,Wed,Thu,"Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00, Sat 08:00-17:00",,,
1026,Tue,Wed,Thu,"Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00, Sat 08:00-17:00",,,
9,Wed,Thu,Fri,"Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00",,,
42,,,,,,,
467,Tue,Wed,,"Tue 12:00-15:00, Wed 12:00-15:00",,,
459,Mon,Tue,Wed,"Mon 08:00-17:00, Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00",,,
287,,,,,,,
491,,,,,,,
286,,,,,,,
43,,,,,,,
490,,,,,,,
74,Fri,Sat,,"Fri 08:00-15:00, Sat 08:00-15:00","Fri 08:00-15:00, Sat 08:00-15:00",,true
489,,,,,,,
211,Mon,Sat,,"Mon 08:00-17:00, Sat 08:00-17:00",,,
1034,Tue,Wed,Thu,"Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00, Sat 08:00-17:00",,,
289,Mon,Tue,Wed,"Mon 10:00-17:00, Tue 10:00-17:00, Wed 10:00-17:00, Thu 10:00-17:00, Fri 10:00-17:00",,,
322,Wed,Thu,Fri,"Wed 10:00-17:00, Thu 10:00-17:00, Fri 10:00-17:00, Sat 10:00-17:00",,,
1032,Tue,Wed,Thu,"Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00",,,true
103,Tue,Wed,,"Tue 08:00-17:00, Wed 08:00-17:00","Tue 08:00-17:00, Wed 08:00-17:00",,true
183,Tue,Wed,"Thu,Fri","Tue 08:00-17:00, Wed 08:00-17:00, Thu 08:00-17:00, Fri 08:00-17:00",,,
31,Tue,Wed,Thu,"Tue 08:00-15:00, Wed 08:00-15:00, Thu 08:00-15:00","Tue 08:00-15:00, Wed 08:00-15:00, Thu 08:00-15:00",,true
