course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,lab_6,course_name
AE19741,Aeronautical Engineering,1,Avionics Lab,,,,,,Avionics
AE23321,Aeronautical Engineering,1,TANCAM,,,,,,Computer Aided Modelling Laboratory
AE23331,Aeronautical Engineering,2,Aircraft Structures Lab,Strength of Materials Lab,,,,,Solid Mechanics
AE23332,Aeronautical Engineering,1,Fluid Mechanics Lab,,,,,,Fluid Mechanics and Fluid Machinery
AE23333,Aeronautical Engineering,1,Thermal Lab 1,,,,,,Aero Engineering Thermodynamics
AE23521,Aeronautical Engineering,1,Aero CAD Lab,,,,,,Computational Simulation Laboratory
AE23531,Aeronautical Engineering,1,Aircraft Structures Lab,,,,,,Aircraft Structures - II
AE23722,Aeronautical Engineering,1,Aero CAD Lab,,,,,,Artificial Intelligence and Machine Learning for Aeronautical Engineering
AE23731,Aeronautical Engineering,1,Avionics Lab,,,,,,Avionics
AT19541,Automobile Engineering,1,Technical Analysis Lab,,,,,,Automotive Electrical and Electronics
AT23331,Automobile Engineering,1,Thermal Lab 1,,,,,,Automotive Engines
AT23332,Automobile Engineering,1,Thermal Lab 2,,,,,,Applied Thermodynamics
AT23333,Automobile Engineering,1,Strength of Materials Lab,,,,,,Strength of Materials for Automobile Engineers
AT23334,Automobile Engineering,1,Manufacturing Technology I,,,,,,Production Technology - II
AT23521,Automobile Engineering,1,Automotive Components Lab,,,,,,Two and Three Wheelers Laboratory
AT23531,Automobile Engineering,1,Electrical Machines I Lab,,,,,,Automotive Electrical and Electronics
AT23722,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,,Vehicle Maintenance Laboratory
AT23723,Automobile Engineering,1,TANCAM,,,,,,Computer Aided Analysis Laboratory
BM23322,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,,Biomedical Instrumentation Laboratory
BM23331,Biomedical Engineering,1,Electronics and Instrumentation,,,,,,Electronic Devices & Circuits
BM23332,Biomedical Engineering,1,Power Electronics Lab,,,,,,Sensors and Measurements
BM23521,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,,Diagnostic and Therapeutic Equipment Laboratory
BM23531,Biomedical Engineering,1,Medical Image Processing Lab,,,,,,Signals and Systems Analysis
BM23532,Biomedical Engineering,2,Microprocessor Lab-2,Microprocessor Lab-1,,,,,Microcontroller and Embedded System Design
BM23721,Biomedical Engineering,1,Electronics and Instrumentation,,,,,,Artificial Intelligence and Machine learning for Biomedical Engineering
BM23731,Biomedical Engineering,1,Medical Image Processing Lab,,,,,,Medical Image Processing
BT19401,Biotechnology,1,Technical Analysis Lab,,,,,,Analytical Techniques in Biotechnology
BT23321,Biotechnology,1,Bio Chemistry Lab,,,,,,Basic Food and Enzyme Technology Laboratory
BT23331,Biotechnology,1,Bio Chemistry Lab,,,,,,Analytical Techniques in Biotechnology
BT23521,Biotechnology,1,Downstream Processing Lab,,,,,,Bioprocess Laboratory- I
BT23523,Biotechnology,1,Immunology Lab,,,,,,Immunology Laboratory
BT23721,Biotechnology,1,Downstream Processing Lab,,,,,,Downstream Processing Laboratory
BY23P12,Biotechnology,1,Technical Analysis Lab,,,,,,Analytical Techniques in Biotechnology
CE19403,Civil Engineering,1,Soil Mechanics & Highway Lab,,,,,,Surveying
CE23331,Civil Engineering,1,Soil Mechanics & Highway Lab,,,,,,Surveying
CE23521,Civil Engineering,1,Chemistry Lab,,,,,,Water and Waste Water Analysis Laboratory
CH23331,Chemical Engineering,1,Fluid Mechanics Lab,,,,,,Fluid Mechanics for Chemical Engineers
