,course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,course_name
196,RO23422,Robotics and Automation,1,Industrial Automation Lab,,,,,"Industrial Automation 
 Laboratory-I"
197,RO23522,Robotics and Automation,1,Industrial Automation Lab,,,,,"Industrial Automation 
 Laboratory-II"
198,RO23332,Robotics and Automation,2,Strength of Materials Lab,Dynamics Lab,,,,Mechanics of Materials
199,RO23421,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Mechanisms and  Robotics laboratory
200,RO23521,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Mobile Robotics laboratory
201,RO23731,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,"Robot Path Planning and 
 Programming"
202,RO23632,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Robotic Vision and Intelligence
203,RO23631,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Robotic operating System
204,RO23721,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,"Robotics & Automation Problem Solving using AI, ML and DL"
205,GE23521,Aeronautical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
206,GE23521,Artificial Intelligence and Data Science,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
207,GE23521,Automobile Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
208,GE23521,Biomedical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
209,GE23521,Biotechnology,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
210,GE23521,Chemical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
211,GE23521,Civil Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
212,GE23521,Computer Science & Business Systems,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
213,GE23521,Computer Science & Design,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
214,GE23521,Computer Science & Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
215,GE23521,Computer Science & Engineering (Cyber Security),3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
216,GE23521,Electrical & Electronics Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
217,GE23521,Electronics & Communication Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
218,GE23521,Food Technology,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
219,GE23521,Information Technology,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
220,GE23521,Mechanical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
221,GE23521,Mechatronics Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
222,GE23521,Robotics and Automation,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
223,EE23B21,Electrical & Electronics Engineering,1,TANCAM,,,,,Wiring Harness Design Engineering
224,AT19722,Automobile Engineering,1,TANCAM,,,,,Computer Aided Analysis Laboratory
225,ME23521,Mechanical Engineering,1,TANCAM,,,,,Component Modeling Laboratory
226,ME23VAP1,Mechanical Engineering,1,Mech CAD Lab,,,,,Windchill Training
227,ME23VAP2,Mechanical Engineering,1,Mech CAD Lab,,,,,Thors E-Learning
228,BM19713,Biomedical Engineering,1,Electronics and Instrumentation,,,,,AI-ML-DL in Healthcare
229,EE23421,Electrical and Electronics Engineering,1,Electrical Machines I Lab,,,,,Electrical Machines Laboratory
230,EE23622,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Applications of AI and ML in Electrical Engineering
231,EC23632,Electronics and Communication Engineering,1,Networks Lab,,,,,Communication Networks
232,MT23722,Mechatronics Engineering,1,Industrial Automation Lab,,,,,Industrial Automation Laboratory
233,CD19741,Computer Science & Design,1,Mech CAD Lab,,,,,3D Printing and Design
