day,slot_type,slot_time,teacher_id,room_id,room_number,course_id,course_code,course_name
Wednesday,Theory,17:00-17:50,205,31,B220,1543,CS23331,Design and Analysis of Algorithms
Saturday,Theory,11:00-11:50,205,38,B325,1543,CS23331,Design and Analysis of Algorithms
Saturday,Theory,13:00-13:50,205,11,A208,1543,CS23331,Design and Analysis of Algorithms
Monday,Lab,10:00-11:50,205,177,TLFL4,1543,CS23331,Design and Analysis of Algorithms
Thursday,Lab,16:00-17:50,205,165,JR3,1543,CS23331,Design and Analysis of Algorithms
