day,slot_type,slot_time,teacher_id,room_id,room_number,course_id,course_code,course_name
Saturday,Lab,10:00-11:50,192,165,JR3,1544,CS23332,Database Management Systems
Monday,Lab,10:00-11:50,198,165,JR3,1556,CS23532,Computer Networks
Saturday,Lab,16:00-17:50,199,165,JR3,1545,CS23333,Object Oriented Programming Using JAVA
Thursday,Lab,16:00-17:50,205,165,JR3,1543,CS23331,Design and Analysis of Algorithms
Thursday,Lab,10:00-11:50,212,165,JR3,1546,CS23334,Fundamentals of Data Science
Friday,Lab,16:00-17:50,236,165,JR3,1545,CS23333,Object Oriented Programming Using JAVA
Friday,Lab,8:00-9:50,243,165,JR3,1545,CS23333,Object Oriented Programming Using JAVA
