course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,course_name
BT23521,Biotechnology,1,Bioprocess Lab,,,,,Bioprocess Laboratory- I
BT23523,Biotechnology,1,Immunology Lab,,,,,Immunology lab
BT23621,Biotechnology,1,Bioprocess Lab,,,,,Bioprocess Laboratory II
BT23721,Biotechnology,1,Downstream Processing Lab,,,,,
BT23722,Biotechnology,1,Immunology Lab,,,,,
BT23723,Biotechnology,1,Computer Application in Chemical Engg Lab,,,,,Artificial Intelligence and Machine Learning for Biotechnologist
BY23122,Biotechnology,1,Immunology Lab,,,,,Recombinant DNA Technology Laboratory
CD19741,Computer Science & Design,1,Mech CAD Lab,,,,,3D Printing and Design
CE19711,Civil Engineering,1,Computer Lab (Arch),,,,,COMPUTER AIDED DESIGN AND DRAFTING LABORATORY
CE19712,Civil Engineering,1,Computer Lab (Arch),,,,,CREATIVE AND INNOVATIVE PROJECT
CE19714,Civil Engineering,1,Computer Lab (Arch),,,,,PROBLEM SOLVING USING MACHINE LEARNING IN CIVIL ENGINEERING
CE23321,Civil Engineering,1,Concrete & Survey Lab,,,,,Construction Materials Laboratory
CE23331,Civil Engineering,2,Soil Mechanics & Highway Lab,Concrete & Survey Lab,,,,Surveying
CE23421,Civil Engineering,1,Strength of Materials Lab,,,,,Strength of Materials and Hydraulic Engineering Laboratory
CE23431,Civil Engineering,1,Soil Mechanics & Highway Lab,,,,,Soil Mechanics
CE23521,Civil Engineering,1,Chemistry Lab,,,,,Water and Waste Water Analysis Laboratory
CE23531,Civil Engineering,1,Computer Lab (Arch),,,,,Structural Analysis
CE23721,Civil Engineering,1,MCT CAD Lab,,,,,Building Information Modelling
CH19711,Chemical Engineering,2,Chemical Reaction Engineering Lab,Chemical Reaction Engineering Lab,,,,Chemical Reaction Engineering  lab
CH19712,Chemical Engineering,1,Process Control Lab,,,,,Process Control Lab
CH19713,Chemical Engineering,1,Computer Aided Application-Chem Engineering,,,,,Computer Applications In  Chemical Engineering Lab
CH23331,Chemical Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics for Chemical Engineers
CH23421,Chemical Engineering,1,Technical Analysis Lab,,,,,Technical Analysis Lab
CH23431,Chemical Engineering,1,Particle Science and Technology Lab,,,,,Particle science and Technology
CH23521,Chemical Engineering,1,Heat Transfer Lab,,,,,Heat Transfer Lab
CH23621,Chemical Engineering,1,Thermal Lab 1,,,,,Mass Transfer Lab
CH23721,Chemical Engineering,1,Chemical Reaction Engineering Lab,,,,,Chemical Reaction Engineering lab
CH23722,Chemical Engineering,1,Process Control Lab,,,,,Process Control Lab
CH23723,Chemical Engineering,1,Computer Application in Chemical Engg Lab,,,,,Artificial Intelligence and Machine Learning for Chemical Engineers
CR19P62,Food Technology,1,MEMS Lab,,,,,Microfluidics Laboratory
CR23P62,Biotechnology,1,Food Microbiology Lab,,,,,
CS23411,Chemical Engineering,1,Computer Application in Chemical Engg Lab,,,,,Python Programming for Machine Learning
CY23131,Biomedical Engineering,1,Chemistry Lab,,,,,Chemistry For Electronics Engineering
CY23132,Biotechnology,1,Chemistry Lab,,,,,Chemistry for Technologists
CY23223,Aeronautical Engineering,1,Chemistry Lab,,,,,Engineering Chemistry
CY23312,Chemical Engineering,1,Chemistry Lab,,,,,Chemistry for Technologists
CY23334,Chemical Engineering,1,Chemistry Lab,,,,,Physical and Organic Chemistry
EC19711,Electronics & Communication Engineering,1,Embedded System Laboratory (ECE),,,,,Embedded Laboratory
EC19712,Electronics & Communication Engineering,1,Optical and Microwave Lab,,,,,Advanced Communication Systems Laboratory
EC23131,Electronics & Communication Engineering,1,Engineering Practices Lab (Electronics),,,,,Electron Devices
EC23232,Computer Science and Engineering,2,Microprocessor Lab-1,Microprocessor Lab-2,,,,Digital Logic and Microprocessor
EC23242,Computer Science and Business Systems,1,Engineering Practices Lab (Electronics),,,,,Principles of Electronics
EC23321,Electronics and Communication Engineering,3,Basic Electronics Lab-1,Digital Lab-1,Digital Lab-2,,,Analog and Digital Circuits Laboratory
EC23331,Electronics and Communication Engineering,3,Microprocessor Lab-2,Microprocessor Lab-1,Microprocessor and Microcontrollers Lab,,,Microprocessors and Microcontrollers
EC23332,Electronics & Communication Engineering,2,Microprocessor Lab-1,Microprocessor Lab-2,,,,Principles of Microprocessor and Microcontrollers
EC23431,Electronics and Communication Engineering,1,LIC Lab,,,,,Analog Circuits-II
EC23521,Electronics & Communication Engineering,1,Communication Systems Lab,,,,,Communication Systems Laboratory
EC23531,Electronics and Communication Engineering,1,DSP Lab,,,,,Digital Signal Processing
EC23631,Electronics and Communication Engineering,1,VLSI Lab,,,,,VLSI and Chip Design
EC23632,Electronics and Communication Engineering,1,Networks Lab,,,,,Communication Networks
EC23633,Electronics and Communication Engineering,1,Embedded System Laboratory (ECE),,,,,Wireless Communication
EC23721,Electronics and Communication Engineering,1,DSP Lab,,,,,Artificial Intelligence and Machine Learning for Electronic Engineering
EC23732,Electronics and Communication Engineering,1,Optical and Microwave Lab,,,,,RF and Microwave Engineering
EC23733,Electronics and Communication Engineering,1,Embedded System Laboratory (ECE),,,,,Embedded and Real Time Systems
ED23121,Mechanical Engineering,1,Mech CAD Lab,,,,,Mechanism Design Laboratory
ED23131,Mechanical Engineering,1,Dynamics Lab,,,,,Vibration Analysis and Control
EE19711,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Project Work / Phase -I
EE19741,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Renewable Energy Systems
EE19742,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Power System Operation and Control
EE23131,Computer Science and Business Systems,2,Electrical Machines II Lab,Electrical Machines I Lab,,,,Principles of Electrical Engineering
EE23132,Electronics and Communication Engineering,2,Electrical Machines II Lab,Electrical Machines I Lab,,,,Basic Electrical Engineering
EE23133,Aeronautical Engineering,1,Electrical Machines I Lab,,,,,Basic Electrical and Electronics Engineering
EE23221,Electrical and Electronics Engineering,2,Power Electronics Lab,Electronic Devices & Circuits Lab,,,,Electric Circuits Laboratory
EE23321,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Electronic Devices and Circuits Laboratory
EE23421,Electrical and Electronics Engineering,1,Electrical Machines I Lab,,,,,Electrical Machines Laboratory
EE23431,Electrical and Electronics Engineering,1,Power Electronics Lab,,,,,Digital Logic Circuits
EE23432,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Linear Integrated Circuits and Applications
EE23521,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Control and Instrumentation Laboratory
EE23531,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,Microprocessor and Microcontrollers Lab,,,,"Microprocessors, Microcontrollers and Applications"
EE23621,Electrical and Electronics Engineering,1,Power Electronics Lab,,,,,Power Electronics and Drives Laboratory
EE23622,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Applications of AI and ML in Electrical Engineering
EE23631,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Applications of IoT in Electrical Engineering
EE23731,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,Renewable Energy Systems
EE23821,Electrical & Electronics Engineering,1,Power System Simulation Lab,,,,,Project Work (Phase - II)
EE23B21,Electrical & Electronics Engineering,1,TANCAM,,,,,Wiring Harness Design Engineering
ET23121,Electrical & Electronics Engineering,1,Embedded System Laboratory(EEE),,,,,Embedded System Laboratory I
ET23322,Electrical & Electronics Engineering,1,Embedded System Laboratory(EEE),,,,,IOT for Embedded Applications Laboratory
FT19711,Food Technology,1,Baking Lab,,,,,Food Packaging Technology Laboratory
FT19712,Food Technology,1,Livestock Lab,,,,,Livestock and Marine Technology Laboratory
FT23211,Food Technology,1,Food Chemistry Lab,,,,,Food Chemistry Laboratory
FT23311,Food Technology,1,Food Microbiology Lab,,,,,Food Microbiology Laboratory
FT23312,Food Technology,1,Food Chemistry Lab,,,,,Biochemistry and Nutrition Laboratory
FT23411,Food Technology,1,Particle Science and Technology Lab,,,,,Unit Operations in Food Industries Laboratory
FT23412,Food Technology,1,Food Processing and Preservation Lab,,,,,Food Processing and Preservation Laboratory - I
FT23511,Food Technology,1,Biochemistry Lab,,,,,Food Analysis Laboratory
FT23512,Food Technology,1,Food Processing and Preservation Lab,,,,,Food Processing and Preservation Laboratory - II
GE23121,Aeronautical Engineering,3,Machine Shop FF1 - EPL - 1,Machine Shop FF2 - EPL - 2,Machine Shop FF3 - EPL - 3,,,Engineering Practices - Civil & Mechanical
GE23122,Aeronautical Engineering,2,Engineering Practices Lab (Electrical),Engineering Practices Lab (Electronics),,,,Engineering Practices - Electrical
GE23231,Automobile Engineering,1,Auto CAD Lab,,,,,Programming Using Python
GE23521,Aeronautical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Artificial Intelligence and Data Science,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Automobile Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Biomedical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Biotechnology,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Chemical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Civil Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Computer Science & Business Systems,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Computer Science & Design,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Computer Science & Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Computer Science & Engineering (Cyber Security),3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Electrical & Electronics Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Electronics & Communication Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Food Technology,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Information Technology,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Mechanical Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Mechatronics Engineering,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23521,Robotics and Automation,3,TIFAC IV01/02,TIFAC IV03/04,TIFAC V01/02,,,Soft Skills – II
GE23627,Electrical & Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,Problem Solving Techniques
ME19741,Mechanical Engineering,1,Mechatronics Lab,,,,,Mechatronics
ME23321,Mechanical Engineering,1,Manufacturing Technology I,,,,,Manufacturing Technology Laboratory I
ME23331,Mechanical Engineering,1,Strength of Materials Lab,,,,,Strength of Materials
ME23421,Mechanical Engineering,1,Mech CAD Lab,,,,,Computer Aided Machine Drawing Laboratory
ME23422,Mechanical Engineering,1,Manufacturing Technology I,,,,,"Manufacturing Technology
 Laboratory II"
ME23431,Mechanical Engineering,1,Dynamics Lab,,,,,Dynamics of Machines
ME23432,Mechanical Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics and Machinery
ME23433,Mechanical Engineering,1,Thermal Lab 1,,,,,Thermal Engineering
ME23521,Mechanical Engineering,1,TANCAM,,,,,Component Modeling Laboratory
ME23531,Mechanical Engineering,1,Thermal Lab 1,,,,,Heat and Mass Transfer
ME23532,Mechanical Engineering,1,Metrology & Measurement Lab,,,,,Metrology and Measurements
ME23622,Mechanical Engineering,1,Mech CAD Lab,,,,,"Simulation and Analysis
 Laboratory"
ME23631,Mechanical Engineering,3,Diagnostic and Therapeutic Equipment Lab,Isaac Asimov Laboratory,,,,Robotics Laboratory
ME23731,Mechanical Engineering,1,Mech CAD Lab,,,,,"Artificial Intelligence for
 Mechanical Engineers"
ME23732,Mechanical Engineering,1,Mechatronics Lab,,,,,Mechatronics
ME23VAP1,Mechanical Engineering,1,Mech CAD Lab,,,,,Windchill Training
ME23VAP2,Mechanical Engineering,1,Mech CAD Lab,,,,,Thors E-Learning
MT19711,Mechatronics Engineering,1,MCT CAD Lab,,,,,Computer Aided Engineering Laboratory
MT19712,Mechatronics Engineering,1,Industrial Automation Lab,,,,,Industrial Automation Laboratory
MT19721,Mechatronics Engineering,1,Microprocessor and Microcontrollers Lab,,,,,Project Work Phase - I
MT23121,Mechatronics Engineering,1,MCT CAD Lab,,,,,Computer Aided Drawing Lab
MT23131,Mechatronics Engineering,1,MCT CAD Lab,,,,,Elements of Mechatronics
MT23311,Mechatronics Engineering,1,Microprocessor and Microcontrollers Lab,,,,,
MT23313,Mechatronics Engineering,1,Strength of Materials Lab,,,,,
MT23331,Mechatronics Engineering,1,Industrial Automation Lab,,,,,Analog Devices and Drives
MT23332,Mechatronics Engineering,1,MCT CAD Lab,,,,,Digital System Design
MT23333,Mechatronics Engineering,1,Manufacturing Technology I,,,,,Manufacturing Technology
MT23334,Mechatronics Engineering,1,Strength of Materials Lab,,,,,Mechanics of Solids
MT23421,Mechatronics Engineering,1,Fluid Mechanics Lab,,,,,Fluid mechanics and Heat Transfer Laboratory
MT23431,Mechatronics Engineering,1,Manufacturing Technology I,,,,,Microcontrollers and Embedded System
MT23432,Mechatronics Engineering,2,Microprocessor Lab-1,Microprocessor Lab-2,,,,Sensors and Instrumentation
MT23433,Mechatronics Engineering,1,Industrial Automation Lab,,,,,System Dynamics and Control
MT23434,Mechatronics Engineering,1,MCT CAD Lab,,,,,
MT23512,Mechatronics Engineering,1,Power Electronics Lab,,,,,Industrial Electronics
MT23521,Mechatronics Engineering,1,Dynamics Lab,,,,,
MT23522,Mechatronics Engineering,1,Power Electronics Lab,,,,,Industrial Electronics Laboratory
MT23531,Mechatronics Engineering,1,Power Electronics Lab,,,,,
MT23631,Mechatronics Engineering,1,Isaac Asimov Laboratory,,,,,Industrial Robotics
MT23632,Mechatronics Engineering,1,Mechatronics Lab,,,,,Applied Hydraulics and Pneumatics
MT23721,Mechatronics Engineering,1,MCT CAD Lab,,,,,Computer Aided Engineering Laboratory
MT23722,Mechatronics Engineering,1,Industrial Automation Lab,,,,,Industrial Automation Laboratory
MT23731,Mechatronics Engineering,1,Industrial Automation Lab,,,,,
MT23732,Mechatronics Engineering,1,MCT CAD Lab,,,,,
MX23121,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Biomedical Instrumentation Lab
MX23131,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Biosignal Acquisition and Processing
MX23322,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Training in Healthcare Sector
PH23131,Aeronautical Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics of Materials
PH23132,Artificial Intelligence and Data Science,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Information Science
PH23133,Computer Science and Business Systems,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Computing Science
PH23141,Mechatronics Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics of Materials
PH23231,Biomedical Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Bioscience
PH23232,Electrical and Electronics Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Electronics Engineering
PH23233,Chemical Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Material Science
RO19712,Robotics & Automation,1,Isaac Asimov Laboratory,,,,,"Robotics and Automation Problem Solving using AI, ML and DL"
RO23221,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Computer Aided Modeling Laboratory
RO23331,Robotics and Automation,1,Strength of Materials Lab,,,,,Elements of Manufacturing Process
RO23332,Robotics and Automation,2,Strength of Materials Lab,,,,,Mechanics of Materials
RO23421,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Mechanisms and  Robotics laboratory
RO23422,Robotics and Automation,1,Industrial Automation Lab,,,,,"Industrial Automation 
 Laboratory-I"
RO23521,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Mobile Robotics laboratory
RO23522,Robotics and Automation,1,Industrial Automation Lab,,,,,"Industrial Automation 
 Laboratory-II"
RO23631,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Robotic operating System
RO23632,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,Robotic Vision and Intelligence
RO23721,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,"Robotics & Automation Problem Solving using AI, ML and DL"
RO23731,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,"Robot Path Planning and 
 Programming"
