id,room_number,block,maintained_by_id,is_lab,room_type,room_min_cap,room_max_cap,has_projector,has_ac,tech_level,description,smart_board,green_board,isLcsAvailable
1,A102,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
2,A103,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
225,A104/105,A Block,2,0,Core-Lab,140,165,0,0,None,Classroom,0,0,0
6,A108,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
7,A109,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
8,A110,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
9,A202,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
10,A203,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
11,A204,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
12,A205,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
13,A208/209,A Block,2,1,Laboratory,110,140,0,0,High-tech,Computer Lab (A208/209),0,0,0
15,A210/211,A Block,2,1,Laboratory,110,140,0,0,High-tech,Computer Lab (A210/211),0,0,0
17,A302,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
18,A303,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
19,A304,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
20,A305,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
21,A308,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
22,A309,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
23,A310,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
24,A311,A Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
231,ANEW101,A Block,2,1,Core-Lab,140,165,0,0,High-tech,OS Classroom,0,0,0
232,ANEW102,A Block,2,1,Core-Lab,140,165,0,0,High-tech,OS Classroom,0,0,0
3,ANEW103,A Block,2,0,Core-Lab,110,140,0,0,None,OS Classroom,0,0,0
226,ANEW104,A Block,2,0,Core-Lab,140,165,0,0,None,New Room in A Block,0,0,0
227,ANEW201,A Block,2,1,Core-Lab,340,355,0,0,None,DSA Classroom-1,0,0,0
228,ANEW202,A Block,2,1,Core-Lab,340,355,0,0,None,DSA Classroom-2,0,0,0
26,TIFAC I02,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
27,TIFAC I03,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
28,TIFAC I04,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
29,TIFAC I11,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
30,TIFAC I12,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
31,TIFAC I13,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
32,TIFAC IV02,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
33,TIFAC IV04,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
34,TIFAC V03,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
35,TIFAC V04,ARC Block,2,0,Classroom,50,70,0,0,None,Classroom,0,0,0
36,TANCAM,Arch Block,2,1,Core-Lab,0,35,0,1,High-tech,TANCAM,1,0,0
37,B First Floor,B Block,8,1,Core-Lab,20,70,1,0,Advanced,Immunology Lab,0,0,0
38,B Ground Floor,B Block,9,1,Core-Lab,20,35,1,0,High-tech,Technical Analysis Lab,0,0,0
