,id,room_number,block,description,is_lab,room_type,room_min_cap,room_max_cap,has_projector,has_ac,tech_level,maintained_by_id_id,green_board,isLcsAvailable,smart_board
22,23,B106,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
23,24,B107,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
24,25,B210,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
25,26,B211,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
26,27,B212,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
27,28,B213,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
28,29,B218,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
29,30,B219,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
30,31,B220,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
31,32,B221,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
32,33,B222,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
33,34,B302,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
34,35,B320,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
35,36,B321,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
36,37,B322,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
37,38,B325,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
38,39,B401,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
39,40,B402,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
40,41,B403,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
41,42,B404,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
42,43,B405,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
43,44,B408,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
44,45,B409,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
45,46,B410,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
46,47,B411,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
47,48,B412,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
48,49,B415,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
49,50,B416,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
50,51,B417,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
51,52,B418,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
52,53,B419,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
53,54,B422,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
54,55,B423,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
