id,room_number,block,description,is_lab,room_type,room_min_cap,room_max_cap,has_projector,has_ac,tech_level,maintained_by_id_id,green_board,isLcsAvailable,smart_board
1,A102,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
2,A103,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
3,ANEW103,A Block,Classroom (ANEW103),0,Class-Room,165,165,1,0,None,,0,0,0
6,A108,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
7,A109,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
8,A110,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
9,A202,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
10,A203,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
11,A204,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
12,A205,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
13,A208/209,A Block,Computer Lab (A208/209),1,Computer-Lab,140,140,0,0,None,,0,0,0
15,A210/211,A Block,Computer Lab (A210/211),1,Computer-Lab,140,140,0,0,None,,0,0,0
17,A302,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
18,A303,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
19,A304,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
20,A305,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
21,A308,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
22,A309,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
23,A310,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
24,A311,A Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
25,TIFAC I01,A Block,Computer Lab (Arch),1,Computer-Lab,70,70,1,0,None,,0,0,0
36,TANCAM,Arch Block,TANCAM,1,Core-Lab,35,35,0,1,None,,0,0,0
37,B First Floor,B Block,Immunology Lab,1,Core-Lab,70,70,0,0,None,,0,0,0
38,B Ground Floor,B Block,Technical Analysis Lab,1,Core-Lab,35,35,0,0,None,,0,0,0
39,B Second Floor,B Block,Downstream Processing Lab,1,Core-Lab,70,70,0,0,None,,0,0,0
40,B106,B Block,Classroom,0,Class-Room,70,70,0,0,None,,0,0,0
