,id,room_number,block,description,is_lab,room_type,room_min_cap,room_max_cap,has_projector,has_ac,tech_level,maintained_by_id_id,green_board,isLcsAvailable,smart_board
58,59,C101,C Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
59,60,C102,C Block,Classroom,0,Classroom,50,70,1,0,,29,0,0,0
60,61,C103,C Block,Classroom,0,Classroom,50,70,1,0,,29,0,0,0
61,62,C108,C Block,Classroom,0,Classroom,15,30,1,0,,29,0,0,0
62,63,C201,C Block,Classroom,0,Classroom,50,70,1,0,,29,0,0,0
63,64,C202,C Block,Classroom,0,Classroom,50,70,1,0,,29,0,0,0
64,65,C301,C Block,Classroom,0,Classroom,50,70,1,0,,29,0,0,0
65,66,C302,C Block,Classroom,0,Classroom,50,70,1,0,,29,0,0,0
66,67,C307,C Block,Classroom,0,Classroom,50,70,1,0,,29,0,0,0
67,68,C308,C Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
141,142,C106,C Block,Microprocessor and Microcontrollers Lab,1,Laboratory,20,35,1,0,,24,0,0,0
142,143,C107,C Block,Mechatronics Lab,1,Laboratory,20,35,1,0,,23,0,0,0
143,144,C401,C Block,Mech CAD Lab,1,Laboratory,20,35,1,0,Advanced,23,0,0,0
144,145,C407,C Block,Dynamics Lab,1,Laboratory,20,35,1,0,,23,0,0,0
145,146,C408,C Block,Metrology & Measurement Lab,1,Laboratory,20,35,1,0,,23,0,0,0
146,147,CG001,C Block,Food Microbiology Lab,1,Laboratory,20,35,1,0,Advanced,18,0,0,0
147,148,CG002,C Block,Baking Lab,1,Laboratory,20,35,1,0,,18,0,0,0
148,149,CG003,C Block,Food Processing and Preservation Lab,1,Laboratory,20,35,1,0,Advanced,18,0,0,0
149,150,CG005,C Block,Avionics Lab,1,Laboratory,20,35,1,0,Advanced,2,0,0,0
150,151,CG006,C Block,Aero CAD Lab,1,Laboratory,20,35,1,0,,2,0,0,0
201,202,WS CIVIL 1,C Block,Concrete & Survey Lab,1,Laboratory,20,35,0,0,High-tech,10,0,0,0
202,203,WS CIVIL 2,C Block,Soil Mechanics & Highway Lab,1,Laboratory,20,35,0,0,Advanced,10,0,0,0
203,204,WS MECH FF1,C Block,Machine Shop FF1 - EPL - 1,1,Laboratory,50,70,0,0,Advanced,23,0,0,0
204,205,WS MECH FF2,C Block,Machine Shop FF2 - EPL - 2,1,Laboratory,50,70,0,0,,23,0,0,0
205,206,WS MECH FF3,C Block,Machine Shop FF3 - EPL - 3,1,Laboratory,50,70,0,0,High-tech,23,0,0,0
206,207,WS MECH FF4,C Block,Thermal Lab 1,1,Laboratory,20,35,0,0,Advanced,23,0,0,0
207,208,WS MECH FF5,C Block,Engineering Practices Lab (Electrical),1,Laboratory,50,70,0,0,Basic,15,0,0,0
208,209,WS MECH FF6,C Block,Engineering Practices Lab (Electronics),1,Laboratory,50,70,0,0,,16,0,0,0
209,210,WS MECH FM,C Block,Fluid Mechanics Lab,1,Laboratory,20,35,0,0,,23,0,0,0
210,211,WS MECH GF1,C Block,Manufacturing Technology I,1,Laboratory,20,35,0,0,Basic,23,0,0,0
211,212,WS MECH GF2,C Block,Manufacturing Technology II,1,Laboratory,20,35,0,0,High-tech,23,0,0,0
212,213,WS MECH SM,C Block,Strength of Materials Lab,1,Laboratory,20,35,0,0,High-tech,23,0,0,0
213,214,WS MECH TL,C Block,Thermal Lab 2,1,Laboratory,20,35,0,0,Basic,23,0,0,0
