Domain,Department,Year,Section,ODD
H&S / Mechanical Sciences Domain,Aeronautical Engineering,1,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Aeronautical Engineering,2,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Aeronautical Engineering,3,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Aeronautical Engineering,4,1,(Tuesday - Saturday)
H&S / Computing Domain,Artificial Intelligence & Data Science,1,6,(Tuesday - Saturday)
Computing Domain,Artificial Intelligence & Data Science,2,5,(Tuesday - Saturday)
Computing Domain,Artificial Intelligence & Data Science,3,3,(Tuesday - Saturday)
Computing Domain,Artificial Intelligence & Data Science,4,1,(Tuesday - Saturday)
H&S / Computing Domain,Artificial Intelligence & Machine Learning,1,4,(Tuesday - Saturday)
Computing Domain,Artificial Intelligence & Machine Learning,2,4,(Tuesday - Saturday)
Computing Domain,Artificial Intelligence & Machine Learning,3,3,(Tuesday - Saturday)
Computing Domain,Artificial Intelligence & Machine Learning,4,3,(Tuesday - Saturday)
H&S / Mechanical Sciences Domain,Automobile Engineering,1,1,(Monday - Friday)
Mechanical Sciences Domain,Automobile Engineering,2,1,(Monday - Friday)
Mechanical Sciences Domain,Automobile Engineering,3,1,(Monday - Friday)
Mechanical Sciences Domain,Automobile Engineering,4,1,(Monday - Friday)
H&S / Electrical Domain,Biomedical Engineering,1,2,(Tuesday - Saturday)
Electrical Domain,Biomedical Engineering,2,2,(Tuesday - Saturday)
Electrical Domain,Biomedical Engineering,3,2,(Tuesday - Saturday)
Electrical Domain,Biomedical Engineering,4,2,(Tuesday - Saturday)
H&S / Natural Sciences Domain,Biotechnology,1,3,(Tuesday - Saturday)
Natural Sciences Domain,Biotechnology,2,3,(Tuesday - Saturday)
Natural Sciences Domain,Biotechnology,3,3,(Tuesday - Saturday)
Natural Sciences Domain,Biotechnology,4,3,(Tuesday - Saturday)
H&S / Natural Sciences Domain,Chemical Engineering,1,1,(Monday - Friday)
Natural Sciences Domain,Chemical Engineering,2,1,(Monday - Friday)
Natural Sciences Domain,Chemical Engineering,3,1,(Monday - Friday)
Natural Sciences Domain,Chemical Engineering,4,1,(Monday - Friday)
H&S / Mechanical Sciences Domain,Civil Engineering,1,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Civil Engineering,2,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Civil Engineering,3,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Civil Engineering,4,1,(Tuesday - Saturday)
H&S / Computing Domain,Computer Science & Business Systems,1,2,(Monday - Friday)
Computing Domain,Computer Science & Business Systems,2,2,(Monday - Friday)
Computing Domain,Computer Science & Business Systems,3,2,(Monday - Friday)
Computing Domain,Computer Science & Business Systems,4,2,(Monday - Friday)
H&S / Computing Domain,Computer Science & Design,1,1,(Monday - Friday)
Computing Domain,Computer Science & Design,2,1,(Monday - Friday)
Computing Domain,Computer Science & Design,3,1,(Monday - Friday)
Computing Domain,Computer Science & Design,4,1,(Monday - Friday)
H&S / Computing Domain,Computer Science & Engineering,1,13,(Monday - Friday)
Computing Domain,Computer Science & Engineering,2,10,(Monday - Friday)
Computing Domain,Computer Science & Engineering,3,6,(Monday - Friday)
Computing Domain,Computer Science & Engineering,4,5,(Monday - Friday)
H&S / Computing Domain,Computer Science & Engineering (Cyber Security),1,3,(Monday - Friday)
Computing Domain,Computer Science & Engineering (Cyber Security),2,2,(Monday - Friday)
Computing Domain,Computer Science & Engineering (Cyber Security),3,1,(Monday - Friday)
H&S / Electrical Domain,Electrical & Electronics Engineering,1,2,(Monday - Friday)
Electrical Domain,Electrical & Electronics Engineering,2,2,(Monday - Friday)
Electrical Domain,Electrical & Electronics Engineering,3,2,(Monday - Friday)
Electrical Domain,Electrical & Electronics Engineering,4,2,(Monday - Friday)
H&S / Electrical Domain,Electronics & Communication Engineering,1,8,(Tuesday - Saturday)
Electrical Domain,Electronics & Communication Engineering,2,6,(Tuesday - Saturday)
Electrical Domain,Electronics & Communication Engineering,3,4,(Tuesday - Saturday)
Electrical Domain,Electronics & Communication Engineering,4,4,(Tuesday - Saturday)
H&S / Natural Sciences Domain,Food Technology,1,1,(Monday - Friday)
Natural Sciences Domain,Food Technology,2,1,(Monday - Friday)
Natural Sciences Domain,Food Technology,3,1,(Monday - Friday)
Natural Sciences Domain,Food Technology,4,1,(Monday - Friday)
H&S / Computing Domain,Information Technology,1,5,(Tuesday - Saturday)
Computing Domain,Information Technology,2,5,(Tuesday - Saturday)
Computing Domain,Information Technology,3,4,(Tuesday - Saturday)
Computing Domain,Information Technology,4,3,(Tuesday - Saturday)
H&S / Mechanical Sciences Domain,Mechanical Engineering,1,2,(Monday - Friday)
Mechanical Sciences Domain,Mechanical Engineering,2,2,(Monday - Friday)
Mechanical Sciences Domain,Mechanical Engineering,3,2,(Monday - Friday)
Mechanical Sciences Domain,Mechanical Engineering,4,3,(Monday - Friday)
H&S / Mechanical Sciences Domain,Mechatronics Engineering,1,2,(Tuesday - Saturday)
Mechanical Sciences Domain,Mechatronics Engineering,2,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Mechatronics Engineering,3,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Mechatronics Engineering,4,1,(Tuesday - Saturday)
H&S / Mechanical Sciences Domain,Robotics & Automation,1,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Robotics & Automation,2,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Robotics & Automation,3,1,(Tuesday - Saturday)
Mechanical Sciences Domain,Robotics & Automation,4,1,(Tuesday - Saturday)
