academic_year,semester,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,course_dept,teaching_dept,teaching_dept_id,student_dept,Unnamed: 13,lab_description,required_room_type,specific_room_type,room_number,block,room_description
4,8,AT19811,Project - Phase II,L,0,12,0,6.0,Department of Automobile Engineering,Department of Automobile Engineering,6,Department of Automobile Engineering,,Vehicle Maintenance Lab,Core-Lab,LAB,WS AUTO GF1,Workshop,Vehicle Maintenance Lab
3,6,AT23631,Automotive System Design,LoT,2,2,1,4.0,Department of Automobile Engineering,Department of Automobile Engineering,6,Department of Automobile Engineering,,,Core-Lab,LAB,TANCAM,Arch Block,
3,6,AT23633,Automotive Fuels and Lubricants,LoT,3,2,0,4.0,Department of Automobile Engineering,Department of Automobile Engineering,6,Department of Automobile Engineering,,Automotive Components Lab,Core-Lab,LAB,WS AUTO GF2,Workshop,Automotive Components Lab
2,4,AT23431,Automotive Drive Line and Chassis,LoT,3,2,0,4.0,Department of Automobile Engineering,Department of Automobile Engineering,6,Department of Automobile Engineering,,Automotive Components Lab,Core-Lab,LAB,WS AUTO GF2,Workshop,Automotive Components Lab
2,4,AT23432,Fluid Mechanics and Machinery for Automobile Engineers,LoT,2,2,1,4.0,Department of Automobile Engineering,Department of Automobile Engineering,6,Department of Automobile Engineering,,Fluid Mechanics Lab,Core-Lab,LAB,WS MECH FM,Workshop,Fluid Mechanics Lab
2,4,AT23433,Theory of Machines,LoT,2,2,1,4.0,Department of Automobile Engineering,Department of Automobile Engineering,6,Department of Automobile Engineering,,Dynamics Lab,Core-Lab,LAB,C407,C Block,Dynamics Lab
2,4,BT23421,Chemical Engineering Laboratory for Biotechnologists,L,0,4,0,2.0,Department of Biotechnology,Department of Biotechnology,8,Department of Biotechnology,,Downstream Processing Lab,Core-Lab,LAB,B Second Floor,B Block,Downstream Processing Lab
2,4,BT23422,Molecular Biology and Genetic Engineering Laboratory,L,0,4,0,2.0,Department of Biotechnology,Department of Biotechnology,8,Department of Biotechnology,,Immunology Lab,Core-Lab,LAB,B First Floor,B Block,Immunology Lab
4,8,FT19801,Project Work,L,0,20,0,10.0,Department of Food Technology,Department of Food Technology,19,Department of Food Technology,,Livestock Lab,Core-Lab,LAB,WS AUTO FF4,Workshop,Livestock Lab
3,6,BT23621,Bioprocess Laboratory II,L,0,4,0,2.0,Department of Biotechnology,Department of Biotechnology,8,Department of Biotechnology,,Downstream Processing Lab,Core-Lab,LAB,B Second Floor,B Block,Downstream Processing Lab
3,6,FT23611,Food Packaging Technology Laboratory,L,0,4,0,2.0,Department of Food Technology,Department of Food Technology,19,Department of Food Technology,,Baking Lab,Core-Lab,LAB,CG002,C Block,Baking Lab
3,6,FT23612,Food Product Technology Laboratory,L,0,4,0,2.0,Department of Food Technology,Department of Food Technology,19,Department of Food Technology,,Food Microbiology Lab,Core-Lab,LAB,CG001,C Block,Food Microbiology Lab
2,4,FT23411,Unit operations in Food industries Laboratory,L,0,4,0,2.0,Department of Food Technology,Department of Food Technology,19,Department of Food Technology,,Process Control Lab,Core-Lab,LAB,WS AUTO FF3,Workshop,Process Control Lab
2,4,FT23412,Food Processing and Preservation Laboratory 1,L,0,4,0,2.0,Department of Food Technology,Department of Food Technology,19,Department of Food Technology,,Food Processing and Preservation Lab,Core-Lab,LAB,CG003,C Block,Food Processing and Preservation Lab
2,4,EE23431,Digital Logic Circuits,LoT,3,2,0,4.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Electrical and Electronics Engineering,,Power Electronics Lab,Core-Lab,LAB,BG009,B Block,Power Electronics Lab
2,4,EE23432,Linear Integrated Circuits and Applications,LoT,3,2,0,4.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Electrical and Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
2,4,EE23421,Electrical Machines Laboratory,L,0,4,0,2.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Electrical and Electronics Engineering,,Electrical Machines I Lab,Core-Lab,LAB,BG014,B Block,Electrical Machines I Lab
3,6,EE23631,Applications of IoT in Electrical Engineering,LoT,3,2,0,3.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Electrical and Electronics Engineering,,Power System Simulation Lab,Core-Lab,LAB,B318,B Block,Power System Simulation Lab
3,6,EE23622,Applications of AI and ML in Electrical Engineering,L,0,4,0,2.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Electrical and Electronics Engineering,,Power System Simulation Lab,Core-Lab,LAB,B318,B Block,Power System Simulation Lab
1,2,FT23211,Food Chemistry Laboratory,L,0,4,0,2.0,Department of Food Technology,Department of Food Technology,19,Department of Food Technology,,Food Analysis Laboratory,Core-Lab,LAB,DG010,D Block,Food Analysis Laboratory
2,4,EC23431,Analog Circuits-II,LoT,3,2,0,4.0,Department of Electronics and Communication Engineering,Department of Electronics and Communication Engineering,17,Department of Electronics and Communication Engineering,,LIC Lab,Core-Lab,LAB,B329,B Block,LIC Lab
3,6,EC23631,VLSI and Chip Design,LoT,3,2,0,4.0,Department of Electronics and Communication Engineering,Department of Electronics and Communication Engineering,17,Department of Electronics and Communication Engineering,,VLSI Lab,Core-Lab,LAB,B203,B Block,VLSI Lab
3,6,EC23632,Communication Networks,LoT,3,2,0,4.0,Department of Electronics and Communication Engineering,Department of Electronics and Communication Engineering,17,Department of Electronics and Communication Engineering,,Networks Lab,Core-Lab,LAB,B204,B Block,Networks Lab
2,4,CH23431,Particle Science and Technology,LoT,3,2,0,4.0,Department of Chemical Engineering,Department of Chemical Engineering,9,Department of Chemical Engineering,,Particle Science and Technology Lab,Core-Lab,LAB,WS AUTO GF3,Workshop,Particle Science and Technology Lab
3,6,CH23621,Mass Transfer Lab,L,0,4,0,2.0,Department of Chemical Engineering,Department of Chemical Engineering,9,Department of Chemical Engineering,,Mass Transfer Lab,Core-Lab,LAB,WS AUTO FF1,Workshop,Mass Transfer Lab
1,1,EE23132,Basic Electrical Engineering,LoT,3,2,0,4.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Electronics and Communication Engineering,,Electrical Machines II Lab,Core-Lab,LAB,WBL11,,Electrical Machines II Lab
2,4,ME23431,Dynamics of Machines,LoT,3,2,0,4.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Mechanical Engineering,,Dynamics Lab,Core-Lab,LAB,C407,C Block,Dynamics Lab
2,4,ME23432,Fluid Mechanics and Machinery,LoT,3,2,0,4.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Mechanical Engineering,,Fluid Mechanics Lab,Core-Lab,LAB,WS MECH FM,Workshop,Fluid Mechanics Lab
2,4,ME23433,Thermal Engineering,LoT,3,2,0,4.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Mechanical Engineering,,Thermal Lab 2,Core-Lab,LAB,WS MECH TL,Workshop,Thermal Lab 2
1,2,GE23121,Engineering Practices Civil and Mechanical,L,0,2,0,1.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Electronics and Communication Engineering,,Machine Shop FF1 - EPL - 1,Core-Lab,LAB,WS MECH FF1,Workshop,Machine Shop FF1 - EPL - 1
3,6,ME23631,Robotics and CNC Programming,LoT,2,2,0,3.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Mechanical Engineering,,Mech CAD Lab,Core-Lab,LAB,C401,C Block,Mech CAD Lab
3,6,RO23631,Robot operating System,LoT,2,2,0,3.0,Department of Robotics and Automation,Department of Robotics and Automation,27,Department of Robotics and Automation,,Isaac Asimov Laboratory,Core-Lab,LAB,DG0IAL,D Block,Isaac Asimov Laboratory
3,6,RO23632,Robot Vision and Intelligence,LoT,3,2,0,4.0,Department of Robotics and Automation,Department of Robotics and Automation,27,Department of Robotics and Automation,,Isaac Asimov Laboratory,Core-Lab,LAB,DG0IAL,D Block,Isaac Asimov Laboratory
